序号,单词,注音,释义
2004,insect ,'insekt, n.昆虫 虫
2005,inser ,in'sə:t, t vt.插入 嵌入 登载 n.插入物
2006,inside ,'in'said, prep.在...里面 n.内部 adj.里面的 adv.在里面
2007,insist ,in'sist, vi.坚持 强调 坚持要求 vi.坚决主张
2008,inspect ,in'spekt, vt.检查 审查 调查 检阅 vi.调查
2009,inspection ,in'spekʃən, n.检查 审查 检阅 视察
2010,inspire ,in'spair, vt.鼓舞 给...以灵感 影响 使...感动 激发 煽动 vi.吸入
2011,install ,in'stɔ:l, vt.安装 设置 安置 使...就职
2012,installation ,.instə'leiʃən, n.安装 装置 设施 军事驻地
2013,instance ,'instəns, n.例子 实例 事例 阶段 情况 诉讼程序 vt.举例说明
2014,instant ,'instənt, n.瞬间 立即 adj.立即的 即时的
2015,instantly ,'instəntli, adv.立即 即刻
2016,instead ,in'sted, adv.代替 顶替 反而
2017,instinct ,'instiŋkt, n.本能 直觉 生性 天性 adj.充满的
2018,institute ,'institju:t, n.研究所 学院 学会 协会 vt.创立 开始 制定
2019,institution ,.insti'tju:ʃən, n.协会 制度 习俗 机构 创立
2020,instruct ,in'strʌkt, vt.教 指示 通知 命令 指导 [计算机] 指示
2021,instruction ,in'strʌkʃən, n.命令 指令 教学 教训 说明 须知
2022,instrument ,'instrumənt, n.仪器 工具 乐器 器械
2023,insufficient ,.insə'fiʃənt, adj.不足的 不适当的
2024,insult ,"'insʌlt,in'sʌlt", vt. & n.侮辱 凌辱 (对人身的)损害
2025,insurance ,in'ʃuərəns, n.保险 保险费
2026,insure ,in'ʃuə, vt.给...保险 确保 vi.买保险
2027,intellectual ,.intil'ektʃuəl, n.知识分子 凭理智做事者 adj.智力的 聪明的
2028,intelligence ,in'telidʒəns, n.智力 理解力 情报 情报工作 情报机关
2029,intelligent ,in'telidʒənt, adj.聪明的 理智的
2030,intend ,in'tend, vt.想要 打算 计划 意指
2031,intense ,in'tens, adj.强烈的 紧张的 剧烈的 热情的 激烈的
2032,intensity ,in'tensiti, n.强烈 剧烈 强度
2033,intensive ,in'tensiv, adj.加强的 精耕细作的 强烈的 密集的 精细的 强调的 n.(语法)强调成份
2034,intention ,in'tenʃən, n.意图 意向 目的
2035,intentional ,in'tenʃənəl, adj.故意的 有意识的 策划的 企图的
2036,interaction ,ˌɪntər'ækʃn,n.相互作用 相互影响 互动交流 干扰
2037,interest ,'intərist, n.兴趣 利益 利息 嗜好 股份 vt.使...感兴趣
2038,interesting ,'intəristiŋ, adj.有趣的 引人入胜的
2039,interfere ,.intə'fiə, vi.干涉 干预 妨碍 冲突
2040,interference ,.intə'fiərəns, n.干涉 干预 干扰 阻碍 [计算机] 干涉
2041,interior ,in'tiəriə, adj.内的 内地的 国内的 内部的 n.内部 内在
2042,intermediate ,.intə'mi:diət, adj.中间的 中级的 n.中间体 媒介物 调解人 vi.调解 干涉
2043,internal ,in'tə:nəl, adj.内的 国内的 内在的 身体内部的
2044,international ,.intə'næʃənəl, adj.国际的 世界(性)的 n.国际组织
2045,interpret ,in'tə:prit, vt.解释 说明 口译 翻译 演出 [计算机] 解释
2046,interpretation ,in.tə:pri'teiʃən, n.解释 口译 翻译 演出
2047,interpreter ,in'tə:pritə, n.译员 口译者 解释程序
2048,interrupt ,.intə'rʌpt, vt.打断 打扰 中止 妨碍 vi.插嘴 n.中断 [计算机] 中断
2049,interruption ,.intə'rʌpʃən, n.中断 打断 障碍物
2050,interval ,'intəvəl, n.间隔 休息 休息时间 (数学)区间 (音乐)音程 间距
2051,interview ,'intəvju:, n.接见 会见 面谈 访问 vt.接见 对...进行面谈(试) vi.面试 采访
2052,intimate ,"'intimeit,'intimit", adj.亲密的 个人的 私人的 秘密的 n.密友 vt.透露 暗示
2053,into ,'intu:, prep.进 入 进入到 到...里
2054,introduce ,.intrə'dju:s, vt.介绍 引进 传入 采用 提出 提倡 放入
2055,introduction ,.intrə'dʌkʃən, n.介绍 引进 引言 导论 序言
2056,invade ,in'veid, vt.入侵 侵略 侵害 侵袭 拥入
2057,invasion ,in'veiʒən, n.入侵 侵略 侵犯
2058,invent ,in'vent, vt.发明 创造 捏造
2059,invention ,in'venʃən, n.发明 发明物 虚构 虚构物 创造 捏造
2060,inventor ,in'ventə, n.发明者 发明家 创造者
2061,invest ,in'vest, vt.投资 投入 花费 授与 赋予(某种性质) 包围 vi.投资
2062,investigate ,in'vestigeit, vt. & vi.调查 研究 [计算机] 研究
2063,investigation ,in.vesti'geiʃən, n.调查 调查研究
2064,investment ,in'vestmənt, n.投资 投资额 投入
2065,invisible ,in'vizəbl, adj.看不见的 无形的 n.隐形人(或物品)
2066,invitation ,.invi'teiʃən, n.邀请 招待 请柬 引诱 招致
2067,invite ,in'vait, vt.邀请 聘请 招待 要求 n.邀请
2068,involve ,in'vɔlv, vt.使卷入 使陷入 使忙于 牵涉 包含
2069,inward ,'inwəd, adj.里面的 内心的 向内的 亲密的 adv.向内 n.内部 内在
2070,iron ,'aiən, n.铁 烙铁 熨斗 坚强 (复数)铁制物 vt.烫(衣) 用铁装备 vi.熨烫(平) adj.刚强的
2071,irregular ,i'regjulə, adj.不规则的 不整齐的 不合法的 n.不合规格之物
2072,island ,'ailənd, n.岛 岛屿 孤立体 vt.建成岛屿 隔离
2073,isolate ,'aisəleit, vt.使隔离 使孤立 adj.孤立的 n.分离
2074,issue ,'iʃju:, n.问题 争论点 发行 发行物 期刊号 vi. & vt.发行 流出 造成...结果
2075,it ,it, pron.这 那 它
2076,Italian ,i'tæljən, adj.意大利 n.意大利人
2077,Italy ,'itəli, n.意大利
2078,item ,'aitəm, n.条 条款 一条 项目 一件商品(或物品) adv.也
2079,its ,its, pron.( it的所有格)它的
2080,itself ,it'self, pron.它自己 它本身 自身
2081,jacket ,'dʒækit, n.短上衣 茄克衫
2082,jail ,dʒeil, n.监狱 监狱 拘留所 vi.监禁 vt.监禁 下狱
2083,jam ,dʒæm, n.果酱 拥塞之物 堵塞 窘境 v.挤 塞满 混杂 vt.使塞满 使堵塞
2084,January ,'dʒænjuəri, n.一月
2085,Japan ,dʒə'pæn, n.日本 日本国 日本漆 日本式漆器 日本式物品
2086,Japanese ,dʒæpə'ni:z, adj.日本的 日本人的 日语的 n.日本人 日语
2087,jar ,dʒɑ:, n.罐子 坛子 广口瓶 不和谐 刺耳声 震动 震惊 vi.发刺耳声 不协调 震动 vt.扰乱 使不稳定
2088,jaw ,dʒɔ:, n.颌 颚 说教 流言蜚语 v.喋喋不休 教训
2089,jazz ,dʒæz, n.爵士音乐 爵士舞(曲) 空扯的话 以及类似的东西 vt.使...活泼 把...演奏成爵士风格 vi.闲逛 跳爵士舞
2090,jealous ,'dʒeləs, adj.妒忌的 猜疑的 戒备的
2091,jet ,dʒet, n.喷气式飞机 喷嘴 喷射 喷出 黑玉大理石 vt.射出 喷射 vi.气流中喷出 adj.煤黑色的
2092,jew ,dʒu:, n.犹太人
2093,jewel ,'dʒu:əl, n.宝石 宝石饰物 v.镶以宝石
2094,jewish ,'dʒu:iʃ, adj.犹太人的
2095,job ,dʒɔb, n. 职业 工作 零活 职责 任务 vt. 投机买卖 营私舞弊 不公正地判罚 分包任务 vi. 工作 假公济私 做分销商或批发商 adj. 与工作有关的
2096,join ,dʒɔin, vt.参加 结合 联合 加入 连接
2097,joint ,dʒɔint, n.接头 接缝 关节 接合处 adj.联合的 共同的 合资的 连带的 v.连接 贴合
2098,joke ,dʒəuk, n.笑话 玩笑 vi.说笑话 开玩笑
2099,jolly ,'dʒɔli, adj. 快活的 愉快的 高兴的 宜人的 令人高兴的v. 恭维 哄 开玩笑 戏虐 adv. 非常 极为 n. (尤英) 欢乐 欢庆 (复数) follies: 娱乐 乐趣
2100,journal ,'dʒə:nl, n.日报 期刊 杂志 日志
2101,journalist ,'dʒə:nəlist, n.记者 新闻工作者
2102,journey ,'dʒə:ni, n.旅行 旅程 行程 v.旅行
2103,joy ,dʒɔi, n.欢乐 喜悦 乐趣 乐事 vi.享受快乐
2104,joyful ,'dʒɔifəl, adj.十分喜悦的 快乐的
2105,judge ,dʒʌdʒ, n.法官 裁判员 v.断定 判断 估计
2106,judgement ,'dʒʌdʒmənt, n.意见 审判 判断
2107,juice ,dʒu:s, n.(水果等)汁 液 果汁 细胞液 内在本质 汽油 唾液 体液 vt.加液体 榨出...的汁液
2108,July ,dʒu(:)'lai, n.七月
2109,jump ,dʒʌmp, vi. & vt.跳 跳过 跳越 惊跳 暴涨 突升 n.跳跃 跳动 上涨
2110,June ,dʒu:n, n.六月 琼(女子名)
2111,jungle ,'dʒʌŋgl, n.丛林 密林 莽丛 adj.丛林的 蛮荒的
2112,junior ,'dʒu:njə, adj.年少的 下级的 后进的 n.晚辈 年少者 地位较低者 大学三年级学生
2113,jury ,'dʒuəri, n.陪审团 评委会 评奖团 adj.临时用的 vt.挑选
2114,just ,dʒʌst, adv.刚才 只是 正好 恰好 adj.公正的 公平的 恰当的
2115,justice ,'dʒʌstis, n.正义 公正 司法 上诉法庭的法官
2116,justify ,'dʒʌstifai, vt.证明...是正当的 替 ...辩护 n.对齐 [计算机] 调整
2117,keen ,ki:n, adj.热心的 激烈的 敏锐的 强烈的 精明的 热忠于
2118,keep ,ki:p, vi.保持 坚持 保存 维持 继续 保有 记录 n.生计 维持 围墙 监狱
2119,keeper ,'ki:pə, n.看护人 饲养员 保管人
2120,kettle ,'ketl, n.水壶 水锅 坑穴
2121,key ,ki:, n.钥匙 关键 答案 按键 音调 adj.主要的 关键的 vt.上锁 调节 提供解答 键入 vi.使用钥匙
2122,keyboard ,'ki:bɔ:d, n.键盘 vt.用键盘输入
2123,kick ,kik, n. 踢 冲刺 反冲 钱包 反对 极大兴趣 vt. 踢 对自己生气 戒除 vi. 踢 反抗 充满活力的运作 反冲 冲刺
2124,kid ,kid, n.小孩 儿童 少年 小山羊 小山羊皮制品 vi. (山羊 羚羊)生幼崽 玩恶作剧 vt. 开玩笑 哄骗 嘲弄 adj. 相对年幼的
2125,kill ,kil, vi.杀死 扼杀 消磨 消减 破坏 n.杀 杀戮
2126,kilogram ,'kiləgræm, n.千克 公斤
2127,kilometer ,'kilə.mi:tə, n.千米 公里 =kilometre(略作km)
2128,kind ,kaind, n.种类 本质 adj.仁慈的 友好的 和蔼的
2129,kindness ,'kaindnis, n.仁慈 好意
2130,king ,kiŋ, n.国王 君主
2131,Kingdom ,'kiŋdəm, n.天国
2132,kingdom ,'kiŋdəm, n.王国 领域 界
2133,kiss ,kis, vt.吻 轻触 vi.接吻 轻触 n.吻 蛋白小饼干 小糖果
2134,kitchen ,'kitʃin, n.厨房 灶间
2135,kite ,kait, n.风筝 v.用空头支票骗人 使上升
2136,knee ,ni:, n.膝 膝盖 膝关节 像膝盖的东西 护膝 屈膝鞠躬 vt.用膝盖顶
2137,kneel ,ni:l, vi.跪 跪下 跪着
2138,knife ,naif, n.小刀 刀 餐刀 v.用刀切割 如刀割般
2139,knit ,nit, vt.把...编结 编织 密接 结合 皱眉 vi.编织 变得紧凑 愈合 n.编织
2140,knob ,nɔb, n.门把 拉手 旋纽 瘤
2141,knock ,nɔk, vi. & vt.敲 击 打 互撞 攻击 n.敲 敲打 敲门
2142,knot ,nɔt, n.(绳的)结 (树的)节 难题 一小群 vi.打结 vt.把...打成结 系牢 捆扎
2143,know ,nəu, vt.知道 认识 通晓 n.知识 了解
2144,knowledge ,'nɔlidʒ, n.知识 学识 知道 了解
2145,lab ,læb, n.实验室 研究室
2146,label ,'leibl, n.标签 签条 标记 符号 商标 称谓 [计算机]标记 DOS命令 加上或修改磁盘标签 vt. 贴标签于 分类 把...称为
2147,laboratory ,'læbrətɔ:ri, n.实验室 研究室 实验大楼
2148,labor ,'leibə, n.工作 劳动 劳力 劳方 vt.苦干 劳动 分娩 阵痛 致力于 vi.过分详尽阐述 adj.劳工的 劳动的
2149,labour ,'leibə, n.劳动 工作 劳工 Labour(英国)工党
2150,lace ,leis, n.鞋带 系带 花边 饰带 缎带 v.结带子 饰以花边
2151,lack ,læk, vi. & vi. &n.缺乏 不足 无
2152,ladder ,'lædə, n.梯子 阶梯 梯状物
2153,lady ,'leidi, n.女士 夫人 贵妇人
2154,lag ,læg, vi. 走得慢 落后 vt. 落后 投掷 盖上桶盖 耽搁 n. 落后 滞后 落后的人 (两事件之间的)时间间隔 耽搁 桶盖 adj. 最后的
2155,lake ,leik, n.湖
2156,lamb ,læm, n.羔羊 小羊 羔羊肉 温顺的人 v.产羊羔
2157,lame ,leim, adj.跛的 瘸的 残废的 无说服力的 vt.使...成残废 使...变无用 n.金属薄板
2158,lamp ,læmp, n.灯 发光或反射光的天体 灵光
2159,land ,lænd, n.陆地 国土 土地 vi.上岸 使靠岸 卸货 得到 登陆
2160,landing ,'lændiŋ, n.上岸 登陆 着陆 楼梯平台 动词land的现在分词
2161,landlady ,'lænd.leidi, n.女房东 女地主
2162,landlord ,'lændlɔ:d, n.地主 房东 店主
2163,lane ,lein, n.(乡间)小路 小巷 行车道 跑道
2164,language ,'læŋgwidʒ, n.语言 语言课程
2165,lantern ,'læntən, n.提灯 灯笼 [建筑学]天窗 屋顶气窗
2166,lap ,læp, n.膝部 膝盖 一圈 一周 下摆 舐声 vt.包围 抱...在膝上 重叠 舔 拍打 泼溅 vi.重叠 围住 轻拍 舔
2167,large ,lɑ:dʒ, adj.大的 巨大的 广泛的 强烈的 普遍地 大量地
2168,largely,ˈlɑ:dʒli,adv.大部分 大量地 主要地
2169,laser ,'leizə, n.激光 镭射
2170,last ,lɑ:st, adj.最后的 末尾的 最近的 晚了 迟到了 adv.最后 最新 n.最后来的人(或发生的事) v.持续 持久 耐久
2171,late ,leit, adj.迟的 晚的 已故的 adv.迟 很迟 晚 最近地
2172,lately ,'leitli, adv.最近 不久前
2173,later ,'leitə, adv.后来 过一会儿 稍后 后来 迟到地 adj.更迟的 后面的
2174,Latin ,'lætin, adj.拉丁的 拉丁人的 拉丁语系国家的 n.拉丁语 拉丁人
2175,latter ,'lætə, adj.(两者中)后者的 后面的
2176,laugh ,lɑ:f, vi.笑 发笑 n.笑(声) 笑料 (复数)娱乐
2177,laughter ,'lɑ:ftə, n.笑 笑声
2178,launch ,lɔ:ntʃ, vt.&n.发射 投射 发动 下水 开始 升天 汽艇
2179,laundry ,'lɔ:ndri, n.洗衣房 洗衣店 要洗的衣服 洗衣
2180,lavatory ,'lævətəri, n.盥洗室 厕所
2181,law ,lɔ:, n.法律 法令 起诉 法则 规律 vi.起诉
2182,lawn ,lɔ:n, n.草地 草坪 草场 上等细麻布
2183,lawyer ,'lɔ:jə, n.律师 法学家
2184,lay ,lei, lie的过去式 vt. 置放 铺设 设置 击 产卵 使平静 打赌 压平 罚款 设计 vi. 生蛋 打赌 全力以赴 n. 隐蔽处 计划 价格 生蛋 叙事诗 诗歌 adj. 世俗的 外行的
2185,layer ,'leiə, n.层 层次 铺设者 vi.分层 vt.将某物堆积成层 n.产卵鸡 [园艺]压条 vt. [园艺]用压条法使(嫩枝)生根
2186,layout ,'leiaut, n.布局 安排 设计
2187,lazy ,'leizi, adj.懒惰的 懒散的
2188,lead ,"led,li:d", vt.为...带路 领导 引导 带领 以铅接合 过...(的生活) n.铅 铅制品 领引 榜样
2189,leader ,'li:də, n.领袖 领导人 首领
2190,leadership ,'li:dəʃip, n.领导 领导才干
2191,leading ,'li:diŋ, adj. 指导的 领导的 最主要的 在前的 vbl. 领导 引领 以铅接合 n. 领导 疏导 铅板 [计算机] 行间空白
2192,leaf ,li:f, n.叶 叶子 树叶 页 活动桌板 花瓣 vt.翻页 vi.长叶子 翻页浏览
2193,league ,li:g, n.同盟 联盟 联合会 社团
2194,leak ,li:k, vi.漏 泄露 漏渗 n.漏洞
2195,lean ,li:n, vi.倾斜 屈身 倚靠 依赖 vt.使倾斜 n.瘦肉 倾斜 弯曲 adj.瘦的 贫乏的 歉收的
2196,leap ,li:p, vi.跳 跃 跳跃 猛冲 vt.跃过 n.跳跃 剧增 急变
2197,learn ,lə:n, vi.学 学习 了解 习得 vt.学 学习 获悉
2198,learned ,'lə:nid, adj.有学问的 博学的 学术上的 learn的过去式和过去分词
2199,learning ,'lə:niŋ, n.学习 学问 知识 动词learn的现在分词
2200,least ,li:st, adj.最少的 最小的 n. & adv.最少 最小
2201,leather ,'leðə, n.皮革 皮革制品 adj.皮革制的 vt.用皮革覆盖 鞭打
2202,leave ,li:v, vi.离去 生出叶子 vt.离开 告假 遗留 听任 使处于某种状态 n.许可 准假 告别
2203,lecture ,'lektʃə, n. &vi.演讲 讲课 教导 教训 斥责
2204,left ,left, adj.左边的 ad.在左边 n.左边 p.p.of leave
2205,leg ,leg, n.腿 腿部 支柱 裤脚管 vi.用脚走路
2206,legal ,'li:gəl, adj.法律的 合法的 法定的
2207,legend ,'ledʒənd, n.传说 传奇 传奇人物 铭文 (地图或图片等的)说明 图例
2208,leisure ,'li:ʒə, n.空闲时间 悠闲 闲暇 休闲
2209,lemon ,'lemən, n.柠檬 柠檬树
2210,lend ,lend, vt.把...借给 贷(款) 给予 增添 vi.贷款
2211,length ,leŋθ, n.长 长度 一段 篇幅
2212,lens ,lenz, n.透镜 镜片 镜头
2213,less ,les, adj.更少的 更小的 ad.更少地 更小地 n.少量 次要 prep.减
2214,lessen ,'lesn, vt.减少 减轻 缩小 变小
2215,lesson ,'lesn, n.功课 课 课程 教训 vt.给...上课 教训
2216,lest ,lest, conj. & prep.惟恐 以免
2217,let ,let, vt.允许 让 使 释放 vi.出租 承包n.障碍 擦网球
2218,letter ,'letə, n.信 证书 字母 v.写下 印刷 n.租赁人
2219,level ,'levl, n. 水平面 水平 等级 标准 层次 a. 水平的 平坦的 齐平的 稳定的 合理的 满满的 vt. 压平 使同等 瞄准 夷为平地 推翻 指责 vi. 趋向平稳 瞄准 诚恳待人 使平等
2220,lever ,'levə, n.杆 杠杆 控制杆 似杠杆之工具 vt.撬开 使用杠杆
2221,liable ,'laiəbl, adj.易于...的 可能的 有义务的 应负责的 有 ...倾向
2222,liar ,'laiə, n.说谎的人
2223,liberal ,'libərəl, adj.心胸宽大的 慷慨的 无偏见的 不拘泥的 宽大的 开明的 n.自由主义者 宽容大度的人 (Liberal)自由党人
2224,liberate ,'libəreit, vt.解放 释放 使获自由 v.解放 使获得自由 释出 放出
2225,liberation ,.libə'reiʃən, n.解放 解放运动(为获得平等权利和地位的行为)
2226,liberty ,'libəti, n.自由 释放 许可
2227,librarian ,lai'brɛəriən, n.图书馆馆长
2228,library ,'laibrəri, n.图书馆 藏书
2229,license ,'laisns, n.许可 批准 批准 执照 许可证 vt.准许 特许
2230,lick ,lik, vt.舔 舔吃 连续击打 击败 vi.用舌头舔 拍打 n.舔 少许 打
2231,lid ,lid, n.盖子 盖 囊盖
2232,lie ,lai, vi.躺 平放 位于 说谎 欺骗 n.谎言
2233,lieutenant ,lu:'tenənt, n.陆军中尉 副职官员 助理人员
2234,life ,laif, n.生命 一生 寿命 生活 人生 生物 灵魂 无期(徒刑) adj.活的 终身的 生动的
2235,lifetime ,'laiftaim, n.一生 终身 寿命 使用期限
2236,lift ,lift, vt.提起 提高 升高 举起 还清 取消 偷窃 运送 vi. 提升 n. 电梯 举起 帮助 提升 电梯 载货量 扒窃 搭便车
2237,light ,lait, n. 光 光线 灯 光源 启发 众所周知的 通光口 眼光 adj. 轻的 不重要的 容易的 明亮的 淡色的 少量的 vi. 点燃 着火 变亮 下马 落下 碰巧发生 vt. 点燃 照亮 adv. 轻地 轻便的
2238,lighten ,'laitn, vt.照亮 使明亮 点亮 变亮 减轻
2239,lightly ,'laitli, adv.轻轻地 轻松地 轻快地 轻蔑地 轻率地 轻微地
2240,lightning ,'laitniŋ, n.闪电 闪电放电 adj.闪电般的 快速的 vi.打闪
2241,like ,laik, vt. 喜欢 喜爱 希望 愿意 想 adj. 相似的 同样的 prep. 像 如同 像要 n. 爱好 类似的人(或物) adv. 大概 和...一样 conj. 如同
2242,likely ,'laikli, adj.可能的 合适的 可信的 有前途的 有吸引力的 adv.很可能
2243,likewise ,'laikwaiz, ad.同样地 也 又 此外 (表示感觉相同)我也是
2244,limb ,lim, n.肢 臂 翼 树枝 四肢 枝干 边缘 vt.切断手足 切断树干
2245,lime ,laim, n.石灰 酸橙 酸橙树 粘鸟胶 钙 vt.施石灰 涂上粘性物质 沾上粘鸟胶 adj.与石灰或石灰石相关的
2246,limit ,'limit, n.限度 限制 范围 vt.限制 限定
2247,limitation ,.limi'teiʃən, n.限制 限度 局限
2248,limited ,'limitid, adj.有限的 被限制住的 缺乏创新性的
2249,line ,lain, n. 线 排 路线 线条行 航线 场界 皱纹 家族 v. 用做衬里 排成一行 顺...排列 vi. 排成一行 顺...排列 划线于
2250,linen ,'linin, n.亚麻布 亚麻线 亚麻织物 亚麻制品 adj.亚麻布制的 亚麻的
2251,liner ,'lainə, n.班船 班轮 班机
2252,link ,liŋk, vt.有环连接 连接 联系 n.环 环节 联系 (链的)环 圈
2253,lion ,'laiən, n.狮子 勇猛的人
2254,lip ,lip, n.嘴唇
2255,liquid ,'likwid, n.液体 a.液体的 液态的
2256,liquor ,'likə, n.酒 溶液 液剂
2257,list ,list, n.表 明细表 目录 名单 条纹 倾斜 列举 <古>意向 vt.列出 列表 (使)倾斜 <古>使高兴 愿意 <古>听
2258,listen ,'lisn, vi.听 留神听 听从 倾听 n.听 倾听
2259,listener ,'lisənə, n.听者 听众之一
2260,liter ,'li:tə, n.升 公升(容量单位) =litre(英)
2261,literary ,'litərəri, a.dj文学(上)的
2262,literature ,'litərətʃə, n.文学 文献
2263,little ,'litl, adj.小的 少 幼小的 adv.毫不 少量地 n.几乎没有(指数量或程度等)
2264,live ,"laiv,liv", vi.居住 活 过着 adj.活的 生动的 精力充沛的 直播的
2265,lively ,'laivli,adj.活泼的 活跃的 栩栩如生的 真实的 逼真的
2266,liver ,'livə, n.肝 肝脏
2267,living ,'liviŋ, adj.活的 生动的 n.生活 生计 动词live的现在分词
2268,living-room ,'liviŋ'ru:m, n.起居室
2269,load ,ləud, vt.装 装满 装载 装填 担负 给(枪)装子弹 [计算机] 装入 n.负载 负荷 重担 装载量
2270,loaf ,ləuf, n.一条面包 一个面包 条 块 面包 vi.游手好闲 虚掷光阴
2271,loan ,ləun, n.贷款 暂借 借出 债权人 vt.借出 借给 供应货款
2272,local ,'ləukəl,adj.地方的 局部的 地方性的 当地的n.当地人
2273,locate ,ləu'keit, vt.探明 找出 查出 设于 位于 建立 vi.建立 住下来
2274,location ,ləu'keiʃən, n.位置 场所 地点 定位 外景拍摄地
2275,lock ,lɔk, n.锁 刹车 水闸 牢牢紧握 一束 一缕 vt.锁上 锁住 抓牢 使固定 vi.锁(住) 纠结 过闸
2276,locomotive ,.ləukə'məutiv, n.火车头 机车 adj.运转的 火车头的 移动的
2277,lodge ,lɔdʒ, vi.暂住 借宿 投宿 临时住宿 安顿 n.小屋 门房 支部
2278,loft ,lɔ:ft, n.阁楼 顶楼
2279,log ,lɔg, n.原木 木料 记录 日志 计程仪 vt.伐木 切 记录 航行 度过(时间) vi.采伐
2280,logic ,'lɔdʒik, n.逻辑(学) (合理的)推理 逻辑性
2281,logical ,'lɔdʒikəl, adj.逻辑的 符合逻辑的 有推理能力的
2282,lonely ,'ləunli, adj.孤独的 荒凉的 寂寞的
2283,long ,lɔŋ, adj.长的 远的 很久的 冗长的 adv.长久 长期地 远地 vi.渴望 热望 极想念 n.长时间 长音节
2284,look ,luk, vi.看 显得 注意 朝着 好象 vt.打量 注视 用眼神或脸色表示 期待 n.看 神色 样子 脸色
2285,loop ,lu:p, n.圈 环 环孔 弯曲部份 回路 vt.使...成环 以圈结 以环连结 vi.形成环 环形地行动
2286,loose ,lu:s, adj.松的 宽松的 不牢固的 不精确的 n.解放 放任 放纵 v.释放 放枪 开船
2287,loosen ,'lu:sn, vt.解开 使松驰 放松 松开 解除(便秘等) 放宽 vi.变松 松弛
2288,lord ,lɔ:d, n.贵族 上帝 基督 主
2289,lorry ,'lɔri, n.运货汽车 卡车
2290,lose ,lu:z, vt.失去 遗失 迷失 输掉 失败 损失 摆脱 vi.丢失 失败 [计算机] 失去
2291,loss ,lɔs, n.遗失 损失 失败 丧失 损耗 亏损
2292,lot ,lɔt, n.许多 大量 签 抽签 阄 小组 场地 命运 adv.很 非常 pron.大量 vt.分配 划分
2293,loud ,laud, adj.响亮的 吵闹的 大声的 难闻的 adv.响亮地 大声地
2294,loudly ,'laudli, adv.大声地 高声地 花俏地
2295,loudspeaker ,'laud'spi:kə, n.扬声器 喇叭
2296,love ,lʌv, vt.爱 爱慕 热爱 喜欢 vi.爱 n.爱 恋爱 爱情 情人
2297,lovely ,'lʌvli, adj.可爱的 令人愉快的 n.漂亮的女人 美好的东西
2298,lover ,'lʌvə, n.爱好者 情人 情侣
2299,low ,ləu, adj.低的 矮的 低下的 低点(价) 深度 牛叫声 adj. 低的 消沉的 低等的 粗俗的 衰弱的 vi.牛叫
2300,lower ,"'ləuə,'lauə", adj. 较低的 低的 下级的 下层的 vt. 放下 降低 跌落 减弱 贬低 vi. 皱眉 降低 阴沉 变少 n. 皱眉 下级 阴沉的样子 前兆
2301,loyal ,'lɔiəl, adj.忠诚的 忠心的
2302,loyalty ,'lɔiəlti, n.忠诚 忠心
2303,luck ,lʌk, n.运气 好运 幸运 吉祥之物 v.侥幸成功
2304,lucky ,'lʌki, adj.幸运的 带来好运的 吉祥的
2305,luggage ,'lʌgidʒ, n.行李 皮箱 皮包
2306,lumber ,'lʌmbə, n.木材 木料 制材 v.伐木 vi.缓慢地移动 vt.拖累
2307,lump ,lʌmp, n.团 块 块状 肿块 瘤 很多 愚笨的人 惩罚 vt.聚成团 合并考虑 同等对待或分类 笨拙地移动 结块 忍受 vi.使成块状 沉重地移动 adj.整体的 全部的 块状的
2308,lunch ,lʌntʃ, n.午餐 (美)便餐 vi.吃午餐 vt.请客吃午餐
2309,lung ,lʌŋ, n.肺脏 肺 呼吸器官
2310,luxury ,'lʌkʃəri, n.奢侈 奢华 奢侈品
2311,machine ,mə'ʃi:n, n.机器 机械 机械装置 机械般工作的人 核心 vt.以机器制造 [计算机] 机器
2312,mad ,mæd, adj.发疯的 恼火的 狂热的 着迷的 生气的 v.发怒 n.发怒
2313,madam ,'mædəm, n.夫人 女士 太太 老鸨
2314,magazine ,.mægə'zi:n, n.杂志 期刊
2315,magic ,'mædʒik, n.魔法 巫术 戏法 adj.有魔力的 神奇的 vt.使用魔(变出等)
2316,magnet ,'mægnit,n.磁铁 磁石 磁体 有强大吸引力的人或物
2317,magnetic ,mæg'netik, adj.磁的 有吸引力的 催眠术的
2318,magnificent ,mæg'nifisnt, adj.壮丽的 华丽的 宏伟的 极好的
2319,maid ,meid, n.女佣 女仆 侍女 少女
2320,mail ,meil, n.邮件 邮政 vt.邮寄
2321,main ,mein, adj.主要的 最重要的 n.主要部分 干线 (水、煤气、电等)供应系统 体力
2322,mainly ,'meinli, adv.主要地 大体上
2323,mainland ,'meinlənd, n.大陆 本土
2324,maintain ,mein'tein, vt.维持 赡养 维修 保养 坚持 断言
2325,maintenance ,'meintinəns, n.维持 保持 维修 生活费用 供给 抚养 主张
2326,major ,'meidʒə, adj.较大的 主要的 较多的 大部份的 n.专业 主修 成年人 陆军少校 巨头 vi.主修
2327,majority ,mə'dʒɔ:riti, n.多数 大多数
2328,make ,meik, vt.使 做 制造 vi.表现 前往 生产 n.牌子 型号 性格 生产
2329,male ,meil, a.男的 雄的 n.男子 雄性动物
2330,man ,mæn, n.男人 人 人类 vt.为...配备人手 使...振奋
2331,manage ,'mænidʒ, vt.管理 设法 对付 处理 维持 达成 经营 vi.管理 达成
2332,management ,'mænidʒmənt, n.管理(层) 经营 处理
2333,manager ,'mænidʒə, n.经理 管理人
